Category Page Number,NEW,SKU,Style,Description,Color Group,Color Code,Color,Hex Code,Size Group,Size Code,Size,Case Qty,Weight,Mill #,Mill Name,Category,Subcategory,Price,Retail Price,Thumbnail Name,Normal Image Name,Full Feature Description,Brand Page Number
310, ,0548515A9,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",NAVY,6,54,222953,4,9,4XL,36,.86,30,Hanes,Sport Shirts,,1232|0|1;1026|2|12;8210|13|-1,1642,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548515A8,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",NAVY,6,54,222953,3,8,3XL,36,.81,30,Hanes,Sport Shirts,,1232|0|1;1026|2|12;8210|13|-1,1642,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548515A7,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",NAVY,6,54,222953,1,7,2XL,36,.75,30,Hanes,Sport Shirts,,1232|0|1;1026|2|12;8210|13|-1,1642,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548515A6,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",NAVY,6,54,222953,28,6,XL,36,.69,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548515A5,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",NAVY,6,54,222953,28,5,L,36,.64,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548515A4,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",NAVY,6,54,222953,28,4,M,36,.58,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548519A5,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",DEEP ROYAL,6,55,293B7B,28,5,L,36,.64,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548519A3,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",DEEP ROYAL,6,55,293B7B,28,3,S,36,.53,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548519A4,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",DEEP ROYAL,6,55,293B7B,28,4,M,36,.58,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548519A6,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",DEEP ROYAL,6,55,293B7B,28,6,XL,36,.69,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548519A7,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",DEEP ROYAL,6,55,293B7B,1,7,2XL,36,.75,30,Hanes,Sport Shirts,,1232|0|1;1026|2|12;8210|13|-1,1642,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
